Age:,Housing,Food,Transport,Clothing,Health,Ed,Misc.,Total
0,7100,1900,2550,1050,980,5090,1790,20460
1,7100,1900,2550,1050,980,5090,1790,20460
2,7100,2000,2610,880,930,4970,1990,20480
3,7100,2000,2610,880,930,4970,1990,20480
4,7100,2000,2610,880,930,4970,1990,20480
5,7100,2000,2610,880,930,4970,1990,20480
6,7100,2630,2730,970,1080,3910,2000,20420
7,7100,2630,2730,970,1080,3910,2000,20420
8,7100,2630,2730,970,1080,3910,2000,20420
9,7100,2980,2730,1010,1150,4350,2000,21320
10,7100,2980,2730,1010,1150,4350,2000,21320
11,7100,2980,2730,1010,1150,4350,2000,21320
12,7100,3190,2860,1170,1610,4700,2070,22700
13,7100,3190,2860,1170,1610,4700,2070,22700
14,7100,3190,2860,1170,1610,4700,2070,22700
15,7100,3180,3020,1280,1520,6460,1950,24510
16,7100,3180,3020,1280,1520,6460,1950,24510
17,7100,3180,3020,1280,1520,6460,1950,24510
18,7100,3180,3020,1280,1520,6460,1950,24510
19,7100,3180,3020,1280,1520,6460,1950,24510
20,7100,3180,3020,1280,1520,6460,1950,24510
21,7100,3180,3020,1280,1520,6460,1950,24510
22,7100,3180,3020,1280,1520,6460,1950,24510
23,7100,3180,3020,1280,1520,6460,1950,24510
24,7100,3180,3020,1280,1520,6460,1950,24510
25,7100,3180,3020,1280,1520,6460,1950,24510