,,Age:,Housing,Food,Transport,Clothing,Health,Ed,Misc.,Total
Urban,<$59k,0,2990,1160,1170,640,630,2040,420,9050
Urban,<$59k,1,2990,1160,1170,640,630,2040,420,9050
Urban,<$59k,2,2990,1260,1230,500,590,1910,620,9100
Urban,<$59k,3,2990,1260,1230,500,590,1910,620,9100
Urban,<$59k,4,2990,1260,1230,500,590,1910,620,9100
Urban,<$59k,5,2990,1260,1230,500,590,1910,620,9100
Urban,<$59k,6,2990,1710,1350,570,660,1290,630,9200
Urban,<$59k,7,2990,1710,1350,570,660,1290,630,9200
Urban,<$59k,8,2990,1710,1350,570,660,1290,630,9200
Urban,<$59k,9,2990,1970,1350,580,710,1910,630,10140
Urban,<$59k,10,2990,1970,1350,580,710,1910,630,10140
Urban,<$59k,11,2990,1970,1350,580,710,1910,630,10140
Urban,<$59k,12,2990,2130,1480,690,1090,1110,700,10190
Urban,<$59k,13,2990,2130,1480,690,1090,1110,700,10190
Urban,<$59k,14,2990,2130,1480,690,1090,1110,700,10190
Urban,<$59k,15,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,16,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,17,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,18,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,19,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,20,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,21,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,22,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,23,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,24,2990,2120,1630,730,1010,1290,589,10359
Urban,<$59k,25,2990,2120,1630,730,1010,1290,589,10359
Urban,<102k,0,3920,1405,1690,760,850,2860,890,12375
Urban,<102k,1,3920,1405,1690,760,850,2860,890,12375
Urban,<102k,2,3920,1490,1740,610,800,2740,1090,12390
Urban,<102k,3,3920,1490,1740,610,800,2740,1090,12390
Urban,<102k,4,3920,1490,1740,610,800,2740,1090,12390
Urban,<102k,5,3920,1490,1740,610,800,2740,1090,12390
Urban,<102k,6,3920,2100,1860,680,940,1680,1110,12290
Urban,<102k,7,3920,2100,1860,680,940,1680,1110,12290
Urban,<102k,8,3920,2100,1860,680,940,1680,1110,12290
Urban,<102k,9,3920,2400,1870,710,1000,2110,1100,13110
Urban,<102k,10,3920,2400,1870,710,1000,2110,1100,13110
Urban,<102k,11,3920,2400,1870,710,1000,2110,1100,13110
Urban,<102k,12,3920,2580,1990,840,1410,1910,1170,13820
Urban,<102k,13,3920,2580,1990,840,1410,1910,1170,13820
Urban,<102k,14,3920,2580,1990,840,1410,1910,1170,13820
Urban,<102k,15,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,16,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,17,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,18,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,19,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,20,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,21,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,22,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,23,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,24,3920,2570,2150,900,1330,2400,1050,14320
Urban,<102k,25,3920,2570,2150,900,1330,2400,1050,14320
Urban,>102k,0,7100,1900,2550,1050,980,5090,1790,20460
Urban,>102k,1,7100,1900,2550,1050,980,5090,1790,20460
Urban,>102k,2,7100,2000,2610,880,930,4970,1990,20480
Urban,>102k,3,7100,2000,2610,880,930,4970,1990,20480
Urban,>102k,4,7100,2000,2610,880,930,4970,1990,20480
Urban,>102k,5,7100,2000,2610,880,930,4970,1990,20480
Urban,>102k,6,7100,2630,2730,970,1080,3910,2000,20420
Urban,>102k,7,7100,2630,2730,970,1080,3910,2000,20420
Urban,>102k,8,7100,2630,2730,970,1080,3910,2000,20420
Urban,>102k,9,7100,2980,2730,1010,1150,4350,2000,21320
Urban,>102k,10,7100,2980,2730,1010,1150,4350,2000,21320
Urban,>102k,11,7100,2980,2730,1010,1150,4350,2000,21320
Urban,>102k,12,7100,3190,2860,1170,1610,4700,2070,22700
Urban,>102k,13,7100,3190,2860,1170,1610,4700,2070,22700
Urban,>102k,14,7100,3190,2860,1170,1610,4700,2070,22700
Urban,>102k,15,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,16,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,17,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,18,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,19,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,20,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,21,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,22,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,23,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,24,7100,3180,3020,1280,1520,6460,1950,24510
Urban,>102k,25,7100,3180,3020,1280,1520,6460,1950,24510
Rural,<$59k,0,2060,1180,1180,670,820,1720,370,8000
Rural,<$59k,1,2060,1180,1180,670,820,1720,370,8000
Rural,<$59k,2,2060,1230,1230,540,760,1720,480,8020
Rural,<$59k,3,2060,1230,1230,540,760,1720,480,8020
Rural,<$59k,4,2060,1230,1230,540,760,1720,480,8020
Rural,<$59k,5,2060,1230,1230,540,760,1720,480,8020
Rural,<$59k,6,2060,1770,1280,540,780,620,600,7650
Rural,<$59k,7,2060,1770,1280,540,780,620,600,7650
Rural,<$59k,8,2060,1770,1280,540,780,620,600,7650
Rural,<$59k,9,2060,2030,1330,680,900,620,650,8270
Rural,<$59k,10,2060,2030,1330,680,900,620,650,8270
Rural,<$59k,11,2060,2030,1330,680,900,620,650,8270
Rural,<$59k,12,2060,2110,1470,740,860,460,500,8200
Rural,<$59k,13,2060,2110,1470,740,860,460,500,8200
Rural,<$59k,14,2060,2110,1470,740,860,460,500,8200
Rural,<$59k,15,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,16,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,17,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,18,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,19,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,20,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,21,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,22,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,23,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,24,2060,2130,1660,720,910,680,470,8630
Rural,<$59k,25,2060,2130,1660,720,910,680,470,8630
Rural,<$107k,0,2400,1450,1770,740,1180,2100,740,10380
Rural,<$107k,1,2400,1450,1770,740,1180,2100,740,10380
Rural,<$107k,2,2400,1560,1820,600,1110,2100,850,10440
Rural,<$107k,3,2400,1560,1820,600,1110,2100,850,10440
Rural,<$107k,4,2400,1560,1820,600,1110,2100,850,10440
Rural,<$107k,5,2400,1560,1820,600,1110,2100,850,10440
Rural,<$107k,6,2400,2120,1870,600,1130,1000,970,10090
Rural,<$107k,7,2400,2120,1870,600,1130,1000,970,10090
Rural,<$107k,8,2400,2120,1870,600,1130,1000,970,10090
Rural,<$107k,9,2400,2500,1910,770,1280,1000,1020,10880
Rural,<$107k,10,2400,2500,1910,770,1280,1000,1020,10880
Rural,<$107k,11,2400,2500,1910,770,1280,1000,1020,10880
Rural,<$107k,12,2400,2600,2060,850,1240,940,870,10960
Rural,<$107k,13,2400,2600,2060,850,1240,940,870,10960
Rural,<$107k,14,2400,2600,2060,850,1240,940,870,10960
Rural,<$107k,15,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,16,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,17,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,18,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,19,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,20,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,21,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,22,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,23,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,24,2400,2620,2250,820,1290,1370,840,11590
Rural,<$107k,25,2400,2620,2250,820,1290,1370,840,11590
Rural,>$107k,0,3560,2080,2570,1080,1590,2510,1550,14940
Rural,>$107k,1,3560,2080,2570,1080,1590,2510,1550,14940
Rural,>$107k,2,3560,2190,2620,920,1500,2510,1670,14970
Rural,>$107k,3,3560,2190,2620,920,1500,2510,1670,14970
Rural,>$107k,4,3560,2190,2620,920,1500,2510,1670,14970
Rural,>$107k,5,3560,2190,2620,920,1500,2510,1670,14970
Rural,>$107k,6,3560,2800,2670,920,1450,1420,1780,14600
Rural,>$107k,7,3560,2800,2670,920,1450,1420,1780,14600
Rural,>$107k,8,3560,2800,2670,920,1450,1420,1780,14600
Rural,>$107k,9,3560,3380,2720,1150,1810,1420,1840,15880
Rural,>$107k,10,3560,3380,2720,1150,1810,1420,1840,15880
Rural,>$107k,11,3560,3380,2720,1150,1810,1420,1840,15880
Rural,>$107k,12,3560,3380,2860,1270,1750,1460,1690,15970
Rural,>$107k,13,3560,3380,2860,1270,1750,1460,1690,15970
Rural,>$107k,14,3560,3380,2860,1270,1750,1460,1690,15970
Rural,>$107k,15,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,16,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,17,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,18,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,19,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,20,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,21,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,22,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,23,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,24,3560,3540,3050,1240,1830,2120,1660,17000
Rural,>$107k,25,3560,3540,3050,1240,1830,2120,1660,17000